# STATION: SEWC1
# STATION NAME: SMITH PEAK (STF)
# LATITUDE: 37.800520
# LONGITUDE: -120.100810
# ELEVATION [ft]: 3871.0
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,volt_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,W/m**2,Inches,Miles/hour,Fahrenheit,gm,volts,Degrees,Fahrenheit,code,Fahrenheit,Fahrenheit
SEWC1,12/31/2021 23:16 PST,30.0,83.0,12.0,41.0,14.99,0.0,13.2,14.99,26.0,25.5,12.7,33.0,,NE,,25.4
SEWC1,01/01/2022 00:16 PST,29.0,91.0,11.0,52.0,14.01,0.0,13.2,14.01,25.0,25.5,12.7,51.0,,NE,,26.67
SEWC1,01/01/2022 01:16 PST,28.0,77.0,10.0,60.0,14.99,0.0,13.2,14.99,23.0,24.9,12.7,47.0,,ENE,,21.64
SEWC1,01/01/2022 02:16 PST,28.0,66.0,11.0,50.0,14.01,0.0,13.2,14.01,23.0,24.4,12.6,50.0,,NE,,17.98
SEWC1,01/01/2022 03:16 PST,28.0,60.0,8.0,54.0,13.0,0.0,13.2,13.0,23.0,23.1,12.6,49.0,,NE,,15.75
SEWC1,01/01/2022 04:16 PST,27.0,58.0,8.0,52.0,11.0,0.0,13.2,11.0,23.0,21.3,12.6,52.0,,NE,,14.03
SEWC1,01/01/2022 05:16 PST,27.0,55.0,11.0,43.0,14.01,0.0,13.2,14.01,23.0,19.8,12.6,49.0,,NE,,12.81
SEWC1,01/01/2022 06:16 PST,29.0,52.0,12.0,34.0,14.99,0.0,13.2,14.99,24.0,19.0,12.6,36.0,,NE,,13.39
SEWC1,01/01/2022 07:16 PST,27.0,55.0,12.0,55.0,19.0,1.0,13.2,19.0,24.0,17.4,12.6,49.0,,NE,,12.81
SEWC1,01/01/2022 08:16 PST,34.0,60.0,8.0,160.0,14.99,87.0,13.2,14.99,33.0,17.3,14.3,74.0,,SSE,,21.42
SEWC1,01/01/2022 09:16 PST,36.0,55.0,9.0,136.0,12.0,227.0,13.2,12.0,40.0,16.0,14.0,146.0,,SE,,21.22
SEWC1,01/01/2022 10:16 PST,40.0,51.0,7.0,170.0,12.0,399.0,13.2,12.0,49.0,13.5,14.4,146.0,,S,,23.14
SEWC1,01/01/2022 11:16 PST,44.0,55.0,5.99,151.0,11.0,493.0,13.2,11.0,55.0,11.6,14.9,149.0,,SSE,,28.71
SEWC1,01/01/2022 12:16 PST,46.0,53.0,5.99,144.0,10.0,534.0,13.2,10.0,59.0,10.9,14.3,123.0,,SE,,29.66
