# STATION: SEWC1
# STATION NAME: SMITH PEAK (STF)
# LATITUDE: 37.800520
# LONGITUDE: -120.100810
# ELEVATION [ft]: 3871.0
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,volt_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,W/m**2,Inches,Miles/hour,Fahrenheit,gm,volts,Degrees,Fahrenheit,code,Fahrenheit,Fahrenheit
SEWC1,12/31/2020 23:16 PST,37.0,100.0,5.99,153.0,8.0,0.0,5.24,8.0,37.0,23.6,13.0,150.0,,SSE,,37.0
SEWC1,01/01/2021 00:16 PST,37.0,100.0,7.0,138.0,9.0,0.0,5.24,9.0,36.0,24.6,13.0,136.0,,SE,,37.0
SEWC1,01/01/2021 01:16 PST,34.0,100.0,5.99,63.0,8.0,0.0,5.24,8.0,33.0,23.6,12.9,58.0,,ENE,,34.0
SEWC1,01/01/2021 02:16 PST,34.0,89.0,8.0,61.0,10.0,0.0,5.24,10.0,31.0,23.8,12.8,63.0,,ENE,,31.06
SEWC1,01/01/2021 03:16 PST,34.0,98.0,5.99,148.0,9.0,0.0,5.24,9.0,33.0,25.4,12.8,80.0,,SSE,,33.49
SEWC1,01/01/2021 04:16 PST,34.0,99.0,9.0,148.0,13.0,0.0,5.24,13.0,35.0,25.3,12.7,154.0,,SSE,,33.74
SEWC1,01/01/2021 05:16 PST,33.0,99.0,9.0,154.0,14.01,0.0,5.24,14.01,34.0,25.1,12.7,152.0,,SSE,,32.75
SEWC1,01/01/2021 06:16 PST,32.0,99.0,9.0,131.0,12.0,0.0,5.24,12.0,32.0,25.2,12.7,127.0,,SE,,31.75
SEWC1,01/01/2021 07:16 PST,33.0,100.0,11.0,148.0,13.0,1.0,5.24,13.0,31.0,25.3,12.6,151.0,,SSE,,33.0
SEWC1,01/01/2021 08:16 PST,37.0,76.0,7.0,170.0,16.0,98.0,5.24,16.0,37.0,24.1,14.4,131.0,,S,,30.05
SEWC1,01/01/2021 09:16 PST,42.0,62.0,8.0,141.0,11.0,262.0,5.24,11.0,46.0,22.5,14.3,156.0,,SE,,29.78
SEWC1,01/01/2021 10:16 PST,45.0,58.0,10.0,149.0,13.0,384.0,5.24,13.0,53.0,18.5,14.0,132.0,,SSE,,30.96
SEWC1,01/01/2021 11:16 PST,49.0,52.0,10.0,149.0,16.0,480.0,5.24,16.0,59.0,14.6,13.8,149.0,,SSE,,31.98
SEWC1,01/01/2021 12:16 PST,49.0,45.0,10.0,148.0,17.0,495.0,5.24,17.0,59.0,12.0,13.7,136.0,,SSE,,28.4
SEWC1,01/01/2021 13:16 PST,51.0,43.0,9.0,158.0,16.0,453.0,5.24,16.0,59.0,10.7,13.7,163.0,,SSE,,29.1
SEWC1,01/01/2021 14:16 PST,51.0,46.0,8.0,167.0,14.01,333.0,5.24,14.01,57.0,10.3,13.7,170.0,,SSE,,30.77
SEWC1,01/01/2021 15:16 PST,48.0,54.0,8.0,158.0,13.0,223.0,5.24,13.0,51.0,10.0,13.7,160.0,,SSE,,31.99
SEWC1,01/01/2021 16:16 PST,45.0,62.0,10.0,134.0,14.01,84.0,5.24,14.01,44.0,10.2,14.2,138.0,,SE,,32.63
SEWC1,01/01/2021 17:16 PST,43.0,66.0,10.0,132.0,16.0,15.0,5.24,16.0,41.0,10.5,13.6,126.0,,SE,,32.3
SEWC1,01/01/2021 18:16 PST,43.0,66.0,5.99,167.0,11.0,0.0,5.24,11.0,39.0,11.1,13.5,140.0,,SSE,,32.3
SEWC1,01/01/2021 19:16 PST,42.0,67.0,5.99,102.0,9.0,0.0,5.24,9.0,38.0,11.9,13.4,110.0,,ESE,,31.72
SEWC1,01/01/2021 20:16 PST,42.0,68.0,8.0,96.0,11.0,0.0,5.24,11.0,38.0,12.7,13.3,75.0,,E,,32.09
SEWC1,01/01/2021 21:16 PST,44.0,56.0,12.0,103.0,14.99,0.0,5.24,14.99,39.0,13.8,13.2,103.0,,ESE,,29.15
SEWC1,01/01/2021 22:16 PST,44.0,52.0,10.0,132.0,14.99,0.0,5.24,14.99,40.0,12.8,13.1,116.0,,SE,,27.33
SEWC1,01/01/2021 23:16 PST,44.0,50.0,10.0,118.0,14.99,0.0,5.24,14.99,40.0,12.2,13.1,125.0,,ESE,,26.37
SEWC1,01/02/2021 00:16 PST,43.0,47.0,11.0,131.0,14.99,0.0,5.24,14.99,41.0,11.7,13.0,128.0,,SE,,23.95
SEWC1,01/02/2021 01:16 PST,41.0,50.0,8.0,143.0,14.01,0.0,5.24,14.01,39.0,11.1,12.9,141.0,,SE,,23.6
SEWC1,01/02/2021 02:16 PST,42.0,49.0,9.0,154.0,11.0,0.0,5.24,11.0,41.0,11.2,12.8,160.0,,SSE,,24.03
SEWC1,01/02/2021 03:16 PST,42.0,45.0,5.0,75.0,11.0,0.0,5.24,11.0,41.0,10.9,12.8,160.0,,ENE,,21.99
SEWC1,01/02/2021 04:16 PST,43.0,46.0,8.0,107.0,10.0,0.0,5.24,10.0,41.0,10.8,12.8,101.0,,ESE,,23.44
SEWC1,01/02/2021 05:16 PST,44.0,42.0,8.0,115.0,10.0,0.0,5.24,10.0,42.0,10.7,12.7,114.0,,ESE,,22.17
SEWC1,01/02/2021 06:16 PST,44.0,38.0,5.99,62.0,9.0,0.0,5.24,9.0,42.0,10.5,12.6,58.0,,ENE,,19.8
SEWC1,01/02/2021 07:16 PST,46.0,32.0,5.99,158.0,10.0,0.0,5.24,10.0,44.0,10.3,12.6,77.0,,SSE,,17.56
SEWC1,01/02/2021 08:16 PST,45.0,37.0,9.0,144.0,12.0,38.0,5.24,12.0,45.0,10.1,12.9,143.0,,SE,,20.07
SEWC1,01/02/2021 09:16 PST,46.0,40.0,8.0,141.0,11.0,101.0,5.24,11.0,47.0,10.1,13.9,149.0,,SE,,22.82
SEWC1,01/02/2021 10:16 PST,49.0,41.0,5.99,157.0,11.0,286.0,5.24,11.0,53.0,9.4,14.3,132.0,,SSE,,26.12
SEWC1,01/02/2021 11:16 PST,49.0,42.0,5.0,182.0,8.0,209.0,5.24,8.0,53.0,9.3,14.5,214.0,,S,,26.71
SEWC1,01/02/2021 12:16 PST,48.0,38.0,8.0,206.0,12.0,254.0,5.24,12.0,53.0,8.9,14.0,204.0,,SSW,,23.39
SEWC1,01/02/2021 13:16 PST,46.0,53.0,4.0,212.0,9.0,211.0,5.24,9.0,49.0,8.5,14.1,216.0,,SSW,,29.66
SEWC1,01/02/2021 14:16 PST,42.0,86.0,8.0,96.0,10.0,156.0,5.25,10.0,44.0,10.4,13.9,97.0,,E,,38.07
SEWC1,01/02/2021 15:16 PST,43.0,82.0,9.0,63.0,14.99,148.0,5.25,14.99,44.0,14.0,13.8,52.0,,ENE,,37.82
SEWC1,01/02/2021 16:16 PST,43.0,77.0,10.0,79.0,12.0,60.0,5.25,12.0,42.0,17.5,13.9,70.0,,E,,36.2
SEWC1,01/02/2021 17:16 PST,46.0,79.0,5.99,220.0,10.0,12.0,5.25,10.0,44.0,18.2,13.6,81.0,,SW,,39.78
SEWC1,01/02/2021 18:16 PST,45.0,77.0,1.0,87.0,14.01,0.0,5.25,14.01,44.0,16.9,13.4,205.0,,E,,38.14
SEWC1,01/02/2021 19:16 PST,42.0,93.0,5.0,48.0,7.0,0.0,5.25,7.0,42.0,18.5,13.3,54.0,,NE,,40.1
SEWC1,01/02/2021 20:16 PST,41.0,99.0,7.0,71.0,9.0,0.0,5.26,9.0,41.0,21.0,13.2,59.0,,ENE,,40.74
SEWC1,01/02/2021 21:16 PST,42.0,100.0,5.0,112.0,7.0,0.0,5.27,7.0,42.0,22.5,13.2,69.0,,ESE,,42.0
SEWC1,01/02/2021 22:16 PST,43.0,100.0,5.0,197.0,7.0,0.0,5.28,7.0,43.0,23.5,13.1,160.0,,SSW,,43.0
SEWC1,01/02/2021 23:16 PST,43.0,100.0,7.0,241.0,10.0,0.0,5.29,10.0,43.0,24.5,13.0,238.0,,WSW,,43.0
SEWC1,01/03/2021 00:16 PST,42.0,100.0,2.0,52.0,9.0,0.0,5.29,9.0,43.0,24.6,13.0,250.0,,NE,,42.0
SEWC1,01/03/2021 01:16 PST,42.0,100.0,5.99,60.0,8.0,0.0,5.29,8.0,42.0,25.3,12.9,55.0,,ENE,,42.0
SEWC1,01/03/2021 02:16 PST,43.0,100.0,2.0,52.0,10.0,0.0,5.29,10.0,43.0,25.6,12.9,61.0,,NE,,43.0
SEWC1,01/03/2021 03:16 PST,42.0,100.0,7.0,308.0,9.0,0.0,5.29,9.0,42.0,25.5,12.8,300.0,,NW,,42.0
SEWC1,01/03/2021 04:16 PST,42.0,100.0,5.99,39.0,10.0,0.0,5.29,10.0,42.0,25.6,12.8,317.0,,NE,,42.0
