# STATION: YNWC1
# STATION NAME: YNP PORTABLE
# LATITUDE: 37.730030
# LONGITUDE: -119.611310
# ELEVATION [ft]: 3633.0
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,volt_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,W/m**2,Inches,Miles/hour,Fahrenheit,gm,volts,Degrees,Fahrenheit,code,Fahrenheit,Fahrenheit
YNWC1,03/15/2023 21:02 UTC,50.0,73.0,5.99,209.0,,,0.0,,,,14.2,22.0,,SSW,,41.6
YNWC1,03/16/2023 18:02 UTC,43.0,68.0,1.0,184.0,2.0,627.0,0.0,2.0,,,14.0,183.0,,S,,33.05
YNWC1,03/16/2023 19:02 UTC,53.0,51.0,1.0,139.0,2.0,780.0,0.0,2.0,,,14.1,156.0,,SE,,35.2
YNWC1,03/16/2023 20:02 UTC,51.0,42.0,2.0,268.0,7.0,527.0,0.0,7.0,,,13.0,215.0,,W,,28.53
YNWC1,03/16/2023 21:02 UTC,56.0,37.0,4.0,241.0,7.0,871.0,0.0,7.0,,,13.7,219.0,,WSW,,29.91
YNWC1,03/17/2023 17:02 UTC,31.0,99.0,0.0,,0.0,64.0,0.0,0.0,,,12.1,183.0,,,,30.75
YNWC1,03/17/2023 18:02 UTC,44.0,57.0,2.0,175.0,4.0,634.0,0.0,4.0,,,12.9,176.0,,S,,29.59
YNWC1,03/17/2023 19:02 UTC,49.0,49.0,2.0,204.0,4.0,805.0,0.0,4.0,,,13.1,190.0,,SSW,,30.5
YNWC1,03/17/2023 20:02 UTC,55.0,28.0,1.0,189.0,4.0,600.0,0.0,4.0,,,12.8,131.0,,S,,22.3
YNWC1,03/17/2023 21:02 UTC,56.0,32.0,5.0,202.0,9.0,887.0,0.0,9.0,,,13.0,242.0,,SSW,,26.37
YNWC1,03/17/2023 22:02 UTC,54.0,39.0,5.99,213.0,11.0,659.0,0.0,11.0,,,12.8,214.0,,SSW,,29.42
YNWC1,03/17/2023 23:02 UTC,51.0,59.0,5.99,220.0,12.0,361.0,0.13,12.0,,,12.1,219.0,,SW,,37.04
YNWC1,03/18/2023 00:02 UTC,48.0,61.0,5.99,212.0,11.0,90.0,0.19,11.0,,,12.1,229.0,,SSW,,35.06
YNWC1,03/18/2023 01:02 UTC,45.0,72.0,2.0,211.0,7.0,58.0,0.21,7.0,,,12.0,222.0,,SSW,,36.42
YNWC1,03/18/2023 02:02 UTC,40.0,86.0,0.0,,5.0,25.0,0.23,5.0,,,,231.0,,,,36.1
YNWC1,03/18/2023 03:02 UTC,36.0,93.0,1.0,213.0,3.0,0.0,0.23,3.0,,,,224.0,,SSW,,34.15
YNWC1,03/18/2023 04:02 UTC,35.0,97.0,0.0,,,,0.25,,,,,,,,,34.22
YNWC1,03/18/2023 17:02 UTC,33.0,99.0,2.0,178.0,3.0,69.0,0.29,3.0,,,12.5,162.0,,S,,32.75
YNWC1,03/18/2023 18:02 UTC,47.0,55.0,1.0,177.0,3.0,629.0,0.3,3.0,,,13.1,175.0,,S,,31.51
YNWC1,03/18/2023 19:02 UTC,54.0,43.0,2.0,175.0,3.0,754.0,0.35,3.0,,,13.1,173.0,,S,,31.83
YNWC1,03/18/2023 20:02 UTC,54.0,37.0,5.0,211.0,9.0,639.0,0.41,9.0,,,12.9,231.0,,SSW,,28.13
YNWC1,03/18/2023 21:02 UTC,55.0,38.0,5.0,211.0,9.0,717.0,0.53,9.0,,,12.5,217.0,,SSW,,29.68
YNWC1,03/18/2023 22:02 UTC,49.0,48.0,4.0,196.0,8.0,249.0,0.59,8.0,,,12.4,217.0,,SSW,,29.99
YNWC1,03/18/2023 23:02 UTC,50.0,44.0,4.0,209.0,7.0,235.0,0.65,7.0,,,12.3,218.0,,SSW,,28.76
YNWC1,03/19/2023 00:02 UTC,46.0,54.0,3.0,205.0,5.99,133.0,0.69,5.99,,,12.2,215.0,,SSW,,30.12
YNWC1,03/19/2023 01:02 UTC,43.0,73.0,0.0,,5.0,77.0,0.73,5.0,,,12.1,236.0,,,,34.84
YNWC1,03/19/2023 02:02 UTC,39.0,83.0,0.0,,3.0,24.0,0.74,3.0,,,12.1,180.0,,,,34.21
YNWC1,03/19/2023 03:02 UTC,37.0,89.0,0.0,,2.0,0.0,0.75,2.0,,,12.0,246.0,,,,34.02
YNWC1,03/19/2023 04:02 UTC,36.0,94.0,1.0,321.0,2.0,0.0,0.75,2.0,,,12.0,16.0,,NW,,34.42
YNWC1,03/19/2023 05:02 UTC,35.0,90.0,0.0,,2.0,0.0,0.75,2.0,,,12.0,242.0,,,,32.33
YNWC1,03/19/2023 06:02 UTC,35.0,94.0,0.0,,2.0,0.0,0.77,2.0,,,,17.0,,,,33.43
YNWC1,03/19/2023 07:02 UTC,35.0,95.0,1.0,184.0,3.0,0.0,0.77,3.0,,,,178.0,,S,,33.69
YNWC1,03/19/2023 08:02 UTC,34.0,95.0,1.0,279.0,3.0,0.0,0.77,3.0,,,,346.0,,W,,32.7
YNWC1,03/19/2023 09:02 UTC,35.0,95.0,1.0,38.0,4.0,0.0,0.77,4.0,,,,14.0,,NE,,33.69
YNWC1,03/19/2023 10:02 UTC,35.0,95.0,2.0,147.0,5.99,0.0,0.77,5.99,,,,188.0,,SSE,,33.69
YNWC1,03/19/2023 11:02 UTC,36.0,91.0,1.0,45.0,5.99,0.0,0.77,5.99,,,,158.0,,NE,,33.6
YNWC1,03/19/2023 12:02 UTC,36.0,90.0,2.0,215.0,4.0,0.0,0.77,4.0,,,,235.0,,SW,,33.32
YNWC1,03/19/2023 13:02 UTC,35.0,94.0,1.0,1.0,3.0,0.0,0.79,3.0,,,,15.0,,N,,33.43
YNWC1,03/19/2023 14:02 UTC,34.0,95.0,1.0,198.0,3.0,0.0,0.79,3.0,,,,218.0,,SSW,,32.7
YNWC1,03/19/2023 15:02 UTC,35.0,99.0,1.0,94.0,3.0,4.0,0.79,3.0,,,,176.0,,E,,34.74
YNWC1,03/19/2023 16:02 UTC,35.0,100.0,1.0,297.0,4.0,16.0,0.81,4.0,,,,244.0,,WNW,,35.0
YNWC1,03/19/2023 17:02 UTC,36.0,100.0,1.0,64.0,3.0,36.0,0.85,3.0,,,,171.0,,ENE,,36.0
