# STATION: YNWC1
# STATION NAME: YNP PORTABLE
# LATITUDE: 37.730030
# LONGITUDE: -119.611310
# ELEVATION [ft]: 3633.0
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,volt_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,W/m**2,Inches,Miles/hour,Fahrenheit,gm,volts,Degrees,Fahrenheit,code,Fahrenheit,Fahrenheit
YNWC1,04/22/2021 22:02 UTC,68.0,34.0,5.99,175.0,13.0,906.0,0.0,13.0,85.0,7.9,13.3,198.0,,S,,38.48
YNWC1,04/22/2021 23:02 UTC,66.0,35.0,5.0,190.0,12.0,263.0,0.0,12.0,67.0,7.4,13.0,196.0,,S,,37.44
YNWC1,04/23/2021 00:02 UTC,65.0,36.0,4.0,202.0,11.0,60.0,0.0,11.0,65.0,7.3,13.0,232.0,,SSW,,37.27
YNWC1,04/23/2021 01:02 UTC,62.0,35.0,5.0,177.0,10.0,32.0,0.0,10.0,61.0,7.3,12.9,195.0,,S,,33.89
YNWC1,04/23/2021 02:02 UTC,60.0,36.0,3.0,182.0,5.99,13.0,0.0,5.99,57.0,7.2,12.8,194.0,,S,,32.81
YNWC1,04/23/2021 03:02 UTC,55.0,45.0,2.0,211.0,4.0,4.0,0.0,4.0,53.0,7.2,12.8,192.0,,SSW,,33.88
YNWC1,04/23/2021 04:02 UTC,51.0,55.0,0.0,,4.0,0.0,0.0,4.0,48.0,7.2,12.7,210.0,,,,35.25
YNWC1,04/23/2021 05:02 UTC,47.0,60.0,0.0,,3.0,0.0,0.0,3.0,45.0,7.4,12.7,203.0,,,,33.69
YNWC1,04/23/2021 06:02 UTC,45.0,69.0,0.0,,2.0,0.0,0.0,2.0,42.0,7.5,12.7,219.0,,,,35.33
YNWC1,04/23/2021 07:02 UTC,42.0,73.0,0.0,,2.0,0.0,0.0,2.0,40.0,7.9,12.7,202.0,,,,33.88
YNWC1,04/23/2021 08:02 UTC,41.0,76.0,0.0,,2.0,0.0,0.0,2.0,39.0,8.2,12.6,206.0,,,,33.93
YNWC1,04/23/2021 09:02 UTC,40.0,80.0,0.0,,2.0,0.0,0.0,2.0,37.0,8.8,12.6,153.0,,,,34.26
YNWC1,04/23/2021 10:02 UTC,38.0,80.0,1.0,181.0,3.0,0.0,0.0,3.0,36.0,9.3,12.6,163.0,,S,,32.31
YNWC1,04/23/2021 11:02 UTC,38.0,83.0,0.0,,2.0,0.0,0.0,2.0,35.0,9.6,12.5,215.0,,,,33.23
YNWC1,04/23/2021 12:02 UTC,37.0,82.0,0.0,,2.0,0.0,0.0,2.0,35.0,10.4,12.5,210.0,,,,31.95
YNWC1,04/23/2021 13:02 UTC,36.0,82.0,0.0,,2.0,0.0,0.0,2.0,34.0,10.8,12.5,214.0,,,,30.97
YNWC1,04/23/2021 14:02 UTC,36.0,81.0,0.0,,2.0,5.0,0.0,2.0,34.0,11.2,12.6,202.0,,,,30.67
YNWC1,04/23/2021 15:02 UTC,37.0,81.0,0.0,,2.0,12.0,0.0,2.0,35.0,11.7,12.5,155.0,,,,31.64
YNWC1,04/23/2021 16:02 UTC,39.0,77.0,2.0,140.0,3.0,22.0,0.0,3.0,38.0,12.8,12.6,140.0,,SE,,32.32
YNWC1,04/23/2021 17:02 UTC,56.0,41.0,2.0,111.0,3.0,103.0,0.0,3.0,56.0,12.5,13.0,136.0,,ESE,,32.46
YNWC1,04/23/2021 18:02 UTC,68.0,25.0,2.0,14.0,5.99,585.0,0.0,5.99,83.0,10.7,14.0,153.0,,NNE,,30.77
