# STATION: JSDC1
# STATION NAME: JERSEYDALE
# LATITUDE: 37.543730
# LONGITUDE: -119.839700
# ELEVATION [ft]: 3762.0
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,precip_accum_set_1,water_temp_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,volt_set_1,snow_interval_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,W/m**2,Inches,Fahrenheit,Miles/hour,Fahrenheit,gm,volts,Inches,Fahrenheit,Fahrenheit,Degrees,Fahrenheit,code,Fahrenheit,Fahrenheit
JSDC1,01/01/2021 00:47 UTC,40.0,33.0,2.0,146.0,5.99,11.0,5.12,,5.99,41.0,18.0,13.2,,,,183.0,,SE,,12.98
JSDC1,01/01/2021 01:47 UTC,40.0,32.0,0.0,,5.0,1.0,5.12,,5.0,40.0,19.7,13.1,,,,191.0,,,,12.28
JSDC1,01/01/2021 02:47 UTC,40.0,41.0,1.0,130.0,3.0,0.0,5.12,,3.0,40.0,21.0,13.1,,,,148.0,,SE,,17.98
JSDC1,01/01/2021 03:47 UTC,40.0,47.0,0.0,,3.0,0.0,5.12,,3.0,40.0,22.2,13.0,,,,174.0,,,,21.2
JSDC1,01/01/2021 04:47 UTC,39.0,55.0,2.0,309.0,5.0,0.0,5.12,,5.0,39.0,22.8,13.0,,,,328.0,,NW,,24.03
JSDC1,01/01/2021 05:47 UTC,39.0,47.0,2.0,193.0,4.0,0.0,5.12,,4.0,38.0,24.0,13.0,,,,205.0,,SSW,,20.28
JSDC1,01/01/2021 06:47 UTC,38.0,55.0,3.0,172.0,5.0,0.0,5.12,,5.0,39.0,24.1,12.9,,,,137.0,,S,,23.09
JSDC1,01/01/2021 07:47 UTC,38.0,55.0,0.0,,4.0,0.0,5.12,,4.0,38.0,24.4,12.9,,,,173.0,,,,23.09
JSDC1,01/01/2021 08:47 UTC,36.0,54.0,0.0,,4.0,0.0,5.12,,4.0,34.0,24.3,12.9,,,,29.0,,,,20.79
JSDC1,01/01/2021 09:47 UTC,35.0,50.0,0.0,,3.0,0.0,5.12,,3.0,33.0,25.6,12.8,,,,109.0,,,,18.04
JSDC1,01/01/2021 10:47 UTC,35.0,60.0,2.0,170.0,5.0,0.0,5.12,,5.0,35.0,25.4,12.8,,,,109.0,,S,,22.36
JSDC1,01/01/2021 11:47 UTC,35.0,64.0,1.0,152.0,7.0,0.0,5.12,,7.0,35.0,25.5,12.8,,,,174.0,,SSE,,23.92
JSDC1,01/01/2021 12:47 UTC,34.0,65.0,0.0,,5.99,0.0,5.12,,5.99,34.0,25.3,12.8,,,,114.0,,,,23.34
JSDC1,01/01/2021 13:47 UTC,33.0,59.0,1.0,359.0,3.0,0.0,5.12,,3.0,31.0,24.6,12.8,,,,281.0,,N,,20.08
JSDC1,01/01/2021 14:47 UTC,31.0,57.0,3.0,322.0,5.0,0.0,5.12,,5.0,28.0,25.0,12.8,,54.0,32.0,335.0,,NW,,17.38
JSDC1,01/01/2021 15:47 UTC,32.0,65.0,2.0,79.0,4.0,6.0,5.12,,4.0,26.0,25.7,12.8,,,,322.0,,E,,21.43
JSDC1,01/01/2021 16:47 UTC,39.0,94.0,2.0,98.0,5.99,181.0,5.12,,5.99,39.0,23.7,14.5,,,,111.0,,E,,37.4
JSDC1,01/01/2021 17:47 UTC,41.0,77.0,3.0,177.0,7.0,333.0,5.12,,7.0,48.0,19.5,14.2,,,,102.0,,S,,34.26
JSDC1,01/01/2021 18:47 UTC,48.0,61.0,3.0,142.0,8.0,455.0,5.12,,8.0,57.0,15.2,13.9,,,,191.0,,SE,,35.06
JSDC1,01/01/2021 19:47 UTC,51.0,46.0,5.0,154.0,8.0,521.0,5.12,,8.0,60.0,12.6,13.8,,,,171.0,,SSE,,30.77
JSDC1,01/01/2021 20:47 UTC,52.0,47.0,5.0,161.0,11.0,523.0,5.12,,11.0,61.0,11.3,14.3,,,,155.0,,SSE,,32.22
JSDC1,01/01/2021 21:47 UTC,52.0,50.0,5.99,177.0,14.01,394.0,5.12,,14.01,59.0,10.9,14.1,,,,181.0,,S,,33.77
JSDC1,01/01/2021 22:47 UTC,49.0,60.0,5.0,173.0,10.0,256.0,5.12,,10.0,53.0,11.1,14.2,,,,188.0,,S,,35.58
JSDC1,01/01/2021 23:47 UTC,47.0,66.0,3.0,180.0,9.0,188.0,5.12,,9.0,48.0,11.0,14.3,,,,180.0,,S,,36.11
JSDC1,01/02/2021 00:47 UTC,44.0,74.0,3.0,156.0,5.0,44.0,5.12,,5.0,39.0,12.1,13.4,,,,173.0,,SSE,,36.15
JSDC1,01/02/2021 01:47 UTC,42.0,66.0,3.0,139.0,5.99,1.0,5.12,,5.99,36.0,13.1,13.3,,,,248.0,,SE,,31.34
JSDC1,01/02/2021 02:47 UTC,41.0,72.0,0.0,,4.0,0.0,5.12,,4.0,30.0,14.9,13.2,,,,235.0,,,,32.56
JSDC1,01/02/2021 03:47 UTC,39.0,70.0,3.0,321.0,5.0,0.0,5.12,,5.0,28.0,16.0,13.1,,,,322.0,,NW,,29.93
JSDC1,01/02/2021 04:47 UTC,38.0,74.0,4.0,320.0,5.0,0.0,5.12,,5.0,28.0,17.5,13.0,,,,302.0,,NW,,30.35
JSDC1,01/02/2021 05:47 UTC,38.0,75.0,2.0,327.0,4.0,0.0,5.12,,4.0,27.0,19.0,13.0,,,,318.0,,NNW,,30.69
JSDC1,01/02/2021 06:47 UTC,41.0,61.0,1.0,293.0,4.0,0.0,5.12,,4.0,27.0,19.9,12.9,,,,314.0,,WNW,,28.44
JSDC1,01/02/2021 07:47 UTC,41.0,48.0,0.0,,4.0,0.0,5.12,,4.0,28.0,19.7,12.9,,,,345.0,,,,22.62
JSDC1,01/02/2021 08:47 UTC,40.0,48.0,1.0,346.0,2.0,0.0,5.12,,2.0,30.0,19.4,12.9,,,,344.0,,NNW,,21.7
JSDC1,01/02/2021 09:47 UTC,41.0,46.0,0.0,,3.0,0.0,5.12,,3.0,33.0,17.6,12.9,,,,142.0,,,,21.6
JSDC1,01/02/2021 10:47 UTC,40.0,56.0,2.0,162.0,5.99,0.0,5.12,,5.99,34.0,17.2,12.9,,,,92.0,,SSE,,25.4
JSDC1,01/02/2021 11:47 UTC,37.0,64.0,5.0,317.0,5.99,0.0,5.12,,5.99,33.0,17.6,12.8,,,,339.0,,NW,,25.82
JSDC1,01/02/2021 12:47 UTC,38.0,63.0,4.0,326.0,5.0,0.0,5.12,,5.0,32.0,17.3,12.8,,,,327.0,,NW,,26.38
JSDC1,01/02/2021 13:47 UTC,39.0,55.0,3.0,319.0,5.0,0.0,5.12,,5.0,36.0,16.5,12.8,,,,341.0,,NW,,24.03
JSDC1,01/02/2021 14:47 UTC,43.0,40.0,1.0,99.0,5.0,0.0,5.12,,5.0,38.0,15.1,12.8,,53.0,30.0,341.0,,E,,20.11
JSDC1,01/02/2021 15:47 UTC,43.0,43.0,0.0,,3.0,6.0,5.12,,3.0,39.0,14.1,12.8,,,,162.0,,,,21.82
JSDC1,01/02/2021 16:47 UTC,46.0,44.0,1.0,67.0,3.0,84.0,5.12,,3.0,45.0,13.2,13.1,,,,60.0,,ENE,,25.11
JSDC1,01/02/2021 17:47 UTC,49.0,44.0,1.0,33.0,4.0,186.0,5.12,,4.0,53.0,11.8,14.0,,,,96.0,,NNE,,27.85
JSDC1,01/02/2021 18:47 UTC,51.0,41.0,3.0,148.0,5.99,303.0,5.12,,5.99,55.0,10.6,14.3,,,,152.0,,SSE,,27.94
JSDC1,01/02/2021 19:47 UTC,50.0,42.0,4.0,151.0,9.0,256.0,5.12,,9.0,55.0,10.2,13.8,,,,169.0,,SSE,,27.62
JSDC1,01/02/2021 20:47 UTC,50.0,39.0,4.0,161.0,7.0,257.0,5.12,,7.0,57.0,9.9,13.7,,,,167.0,,SSE,,25.82
JSDC1,01/02/2021 21:47 UTC,50.0,44.0,2.0,150.0,5.99,204.0,5.12,,5.99,54.0,9.9,13.7,,,,175.0,,SSE,,28.76
JSDC1,01/02/2021 22:47 UTC,45.0,74.0,5.0,333.0,7.0,177.0,5.12,,7.0,48.0,10.2,13.7,,,,345.0,,NNW,,37.12
JSDC1,01/02/2021 23:47 UTC,45.0,70.0,3.0,306.0,5.99,125.0,5.12,,5.99,46.0,11.7,14.1,,,,308.0,,NW,,35.7
JSDC1,01/03/2021 00:47 UTC,44.0,78.0,3.0,302.0,5.0,34.0,5.12,,5.0,42.0,12.9,13.3,,,,315.0,,WNW,,37.5
