relative_humidity_set_1,wind_speed_set_1,dew_point_temperature_set_1d,peak_wind_direction_set_1
33,5,37.72,225
37,5,37.07,201
36,4,35.49,204
37,4,34.39,210
38,4,32.37,212
44,4,33.32,222
51,2,35.2,230
58,1,35.66,173
64,0,35.33,217
70,0,35.7,244
74,0,35.19,188
81,0,34.57,240
85,0,34.82,226
87,0,34.43,213
89,1,34.02,172
90,0,33.32,176
89,0,32.05,172
86,2,33.15,180
61,3,33.17,219
51,5,34.27,209
54,5.99,33.85,217
37,5,28.13,239
26,5.99,20.55,212
28,5.99,21.43,220
36,5.99,22.1,223
49,5.99,26.8,205
55,5,28.71,203
80,3,35.23,212
53,4,25.93,214
56,4,26.34,215
54,5,24.52,217
60,3,26.14,217
64,2,26.77,219
72,2,27.74,226
80,1,28.4,220
85,0,28.93,334
90,0,28.37,273
93,0,28.2,247
94,0,27.47,176
95,0,26.73,328
94,0,26.47,180
92,2,26.94,221
68,2,24.43,167
46,5,24.35,218
42,5.99,24.9,217
35,4,23.21,243
36,4,21.21,219
38,4,21.6,232
48,5.99,25.38,226
57,5,28.65,216
69,1,31.5,228
53,1,26.86,157
49,2,24.96,213
53,3,24.07,221
56,1,24.47,172
63,1,26.38,122
69,0,26.7,243
77,0,27.46,6
80,0,25.48,239
83,1,25.4,219
86,0,25.29,16
86,2,26.27,244
86,1,26.27,160
87,1,25.57,179
87,1,27.54,330
78,1,28.75,178
60,2,27.08,214
61,3,26.54,227
48,3,23.54,217
40,4,20.11,227
40,2,21.01,206
39,3,22.22,185
31,4,20.34,230
44,3,23.28,224
32,3,18.45,231
38,4,20.7,332
58,4,26.26,216
80,0,31.33,251
84,1,31.58,177
90,1,30.35,331
91,0,28.65,222
92,0,27.93,178
94,1,27.47,228
95,0,26.73,224
95,0,25.74,242
93,0,25.22,332
89,0,23.16,267
85,1,22.05,12
79,0,20.3,331
59,3,18.19,162
46,3,17.02,162
28,3,12.75,145
25,5,14.49,225
25,3,15.35,217
27,4,18.85,217
24,4,19.53,225
29,4,21.39,212
37,3,24.55,217
85,2,37.76,80
81,0,37.5,182
89,0,37.97,339
93,0,37.12,20
95,0,35.68,174
96,0,34.96,181
97,0,33.23,177
97,0,32.23,182
98,0,31.49,188
98,0,30.49,333
98,0,30.49,225
98,0,29.5,344
98,1,28.5,236
98,0,28.5,162
98,0,28.5,244
98,1,29.5,177
69,2,28.62,186
37,3,24.55,177
24,4,21.24,216
25,5,24.77,191
26,5,26.57,230
25,5,28.2,200
25,5,29.06,240
29,5.99,30.1,206
30,5,29.19,217
32,4,28.13,222
37,1,28.13,203
46,0,28.94,175
52,0,28.26,223
59,0,28.56,188
62,0,27.89,251
66,0,28.48,215
71,0,28.36,4
76,0,29.08,178
78,0,28.75,348
82,1,29.99,338
84,0,29.62,329
86,0,30.2,327
84,1,32.56,167
57,3,32.4,165
35,2,31.22,169
22,4,28.5,223
21,4,30.73,254
24,5,34.89,207
24,5,36.59,221
25,5.99,36.77,226
23,7,32.97,227
23,5.99,32.13,206
24,3,31.47,238
29,4,33.58,219
40,1,36.36,214
51,0,38.91,228
56,0,37.58,335
62,0,37.37,335
67,0,37.45,228
72,1,37.38,178
75,0,37.47,232
75,0,36.5,165
79,0,36.86,338
79,0,35.89,342
80,0,35.23,344
81,0,35.55,184
80,1,38.16,173
55,3,38.06,160
32,3,36.06,167
25,3,37.62,165
23,5,38.92,234
26,4,42.92,203
26,5,44.64,229
27,5,44.77,200
29,5.99,44.04,212
32,5,45.74,195
34,4,45.57,207
36,3,43.51,221
50,0,46.73,226
63,0,48.22,13
67,0,47.01,246
69,0,44.92,295
76,0,44.59,21
81,0,44.34,234
84,0,44.32,20
88,0,44.58,197
89,0,43.89,218
92,0,43.78,202
91,0,43.49,339
86,1,44.95,173
59,3,43.64,172
37,1,42.44,128
28,5,43.12,212
26,4,44.64,225
27,5,46.5,202
27,5,46.5,224
29,5,46.65,220
31,5,45.78,209
32,3,45.74,227
33,4,43.9,208
36,4,43.51,218
42,3,43.95,217
51,0,45.4,224
63,0,47.27,237
63,2,45.37,219
71,1,46.65,164
75,0,47.15,27
80,0,45.96,329
81,0,45.31,188
82,0,44.66,351
85,0,44.64,220
89,1,43.89,185
88,1,43.59,185
84,1,44.32,180
55,3,40.86,158
35,2,39.22,69
26,5,39.48,211
29,5,43.16,225
24,5.99,40,222
25,5,41.05,209
24,5,36.59,221
24,5,34.89,220
25,5,33.34,242
29,4,34.45,221
36,2,37.27,217
48,1,39.2,184
57,0,40.86,335
61,0,39.79,245
67,0,39.37,12
72,0,40.27,244
74,0,39.05,216
77,0,39.12,343
78,0,38.48,331
80,0,38.16,176
81,0,37.5,214
81,0,37.5,231
77,1,38.14,180
50,3,35.62,160
29,2,33.58,247
25,5,35.91,204
25,5,39.34,218
25,5,40.19,215
27,5.99,42.18,225
26,5,41.2,224
28,5,40.52,246
31,4,41.4,235
30,3,38.8,244
35,1,40.11,224
50,0,43.95,13
59,1,44.58,355
66,1,44.7,165
68,2,43.58,215
74,0,43.89,210
76,0,42.66,346
78,0,42.37,327
76,0,39.75,172
71,1,37.99,86
67,1,35.54,185
65,1,33.82,230
63,0,33.98,176
60,1,35.58,178
38,2,32.37,165
22,3,30.18,154
16,3,30.7,225
17,5,34.65,206
21,5.99,39.98,242
21,5.99,40.82,217
24,5,44.27,218
26,5.99,43.78,210
26,4,42.92,221
27,4,42.18,214
30,4,42.3,205
36,1,41.73,231
52,0,45.92,16
64,0,48.65,17
65,0,46.2,181
66,1,45.66,231
69,1,44.92,169
72,0,44.13,9
76,1,44.59,182
76,0,43.62,333
76,1,42.66,335
78,1,41.39,342
80,0,42.06,354
76,1,42.66,182
49,2,40.65,174
31,3,38.76,150
26,5,41.2,231
27,5,44.77,231
25,5.99,43.62,232
23,5,42.31,219
24,4,41.71,221
26,4,41.2,232
26,4,40.34,241
26,3,37.76,223
29,3,37.94,218
36,3,39.95,119
44,1,41.53,232
53,0,41.77,7
60,0,42.19,178
64,1,41.04,174
68,0,40.71,182
73,0,40.63,173
77,0,39.12,188
80,0,39.13,226
81,0,38.48,183
81,1,38.48,187
74,1,40.02,171
47,2,35.9,159
30,5,33.56,231
29,5.99,35.33,226
23,5.99,31.28,213
25,5.99,33.34,221
27,5.99,36.13,219
26,5,35.18,198
26,5,31.74,216
26,5,30.88,222
27,4,30.08,209
29,4,29.23,218
30,3,28.31,220
35,2,28.55,220
42,0,29.43,239
54,0,30.12,230
58,0,30.02,232
62,0,30.73,333
67,0,31.72,227
72,0,31.6,220
75,0,31.66,230
77,0,32.32,222
79,0,32.96,231
74,2,34.22,179
51,3,33.35,165
32,3,30.77,178
24,5,29.77,217
22,5.99,30.18,242
22,5,32.72,210
21,5,32.41,216
20,4,30.37,217
22,3,30.18,216
21,5,28.21,206
22,3,27.65,219
24,4,28.06,238
29,2,29.23,222
35,1,29.44,228
43,0,30.92,228
50,0,31.92,209
54,0,31.99,221
58,0,31.9,227
61,0,32.22,336
65,0,32.87,343
67,0,32.67,330
70,0,32.82,182
72,0,32.56,214
74,0,34.22,179
72,1,36.42,162
48,3,34.59,157
32,2,33.41,342
24,4,34.89,221
21,5,34.09,224
21,5.99,34.93,249
18,5,31.94,212
19,5.99,32.45,212
20,5,32.05,222
21,4,32.41,216
23,4,32.97,224
25,4,33.34,209
30,2,33.56,220
37,0,34.39,220
48,0,37.35,347
53,0,36.18,236
57,1,36.16,172
60,0,36.53,176
64,1,36.28,215
67,0,36.5,250
70,0,36.66,208
73,0,36.77,179
75,0,36.5,173
78,0,37.5,180
74,2,39.05,164
48,3,37.35,163
31,2,35.26,170
23,4,35.52,225
21,5.99,35.77,212
22,7,37.79,217
22,5.99,38.63,213
