relative_humidity_set_1,wind_speed_set_1,dew_point_temperature_set_1d,peak_wind_direction_set_1
52,0,34.76,183
54,0,34.79,336
55,0,33.38,240
55,0,32.45,342
57,0,32.4,15
59,0,32.33,284
60,0,32.75,179
56,1,36.65,174
33,3,33.3,159
23,2,33.82,153
14,3,29.07,161
10,3,26.52,211
9,5,24.8,224
9,5,25.57,330
10,5,27.3,212
11,5,27.24,217
12,4,27.75,175
13,4,28.88,249
18,3,30.29,225
26,2,33.46,239
31,0,33.5,230
37,1,34.39,218
41,0,34.27,28
48,1,36.43,214
47,1,34.98,180
47,0,34.06,239
49,1,33.27,212
50,0,32.85,234
49,0,32.34,344
49,1,34.19,232
51,2,37.98,225
51,2,41.69,3
49,0,45.27,178
22,4,33.56,348
24,3,38.3,338
24,3,37.44,9
25,1,40.19,336
21,2,38.29,226
21,4,39.14,210
21,5,38.29,216
23,3,39.77,230
25,1,40.19,221
30,2,41.43,218
41,1,44.23,227
48,1,43.8,220
52,1,43.13,217
57,0,43.67,164
60,1,44.08,192
60,0,43.14,218
63,1,44.42,176
61,1,43.57,177
64,0,43.89,178
66,2,44.7,167
66,1,47.57,176
58,1,50.72,79
51,3,48.18,157
37,1,45.13,197
36,3,47.08,223
26,3,44.64,136
28,5,39.65,79
28,2,43.12,2
24,2,40.86,237
25,4,42.77,227
27,4,43.91,230
30,1,44.92,222
38,0,46.73,8
48,0,47.49,167
58,0,48.83,344
62,0,47.79,227
65,0,47.16,226
70,1,47.23,346
64,1,45.79,241
63,0,44.42,344
64,0,42.94,336
66,0,42.79,224
69,0,43.01,193
69,0,42.05,344
72,0,43.17,200
63,0,44.42,178
47,2,44.17,157
31,2,42.27,129
24,4,43.42,188
18,5,39.38,209
18,5.99,41.03,205
18,5.99,41.86,211
20,5,43.75,194
21,4,43.34,226
21,4,42.5,231
22,5,42.86,212
23,3,40.61,234
28,3,41.39,240
35,3,41.89,223
44,0,41.53,337
47,0,42.33,22
50,1,41.18,220
51,0,40.76,225
54,0,40.39,28
55,0,40.86,217
58,0,41.31,347
61,0,41.68,286
65,0,43.35,178
63,0,46.32,179
46,2,46.35,163
32,3,45.74,170
17,4,37.93,226
16,5.99,38.04,219
16,5,39.67,229
16,3,38.86,230
18,3,41.03,84
17,3,37.93,182
19,3,39.93,0
24,3,43.42,355
19,3,38.27,236
21,3,36.61,224
29,1,38.81,224
36,1,39.95,214
41,0,40.61,185
44,1,40.62,231
47,0,41.41,352
49,1,40.65,242
51,0,40.76,182
55,0,41.8,244
58,0,41.31,54
59,0,41.75,343
61,1,41.68,213
58,0,45.07,201
41,3,44.23,162
27,2,42.18,173
20,3,41.24,147
15,5,38.85,216
14,4,39.52,217
13,5,37.65,220
14,5,38.72,219
14,3,36.31,219
13,4,33.67,242
15,4,36.42,210
15,4,33.18,211
22,1,37.79,207
30,0,39.68,231
35,0,39.22,232
39,0,39.32,184
43,0,40.02,175
44,0,38.79,215
46,0,39.02,218
47,0,38.66,216
49,0,37.88,232
52,0,38.48,220
55,0,38.99,220
58,0,40.37,182
56,0,43.21,160
38,2,42.24,162
25,2,41.05,162
16,3,38.04,233
12,5,34.07,220
10,5.99,31.17,223
9,5.99,29.4,226
9,5,30.16,208
11,5.99,31.94,237
11,5,31.15,210
11,4,29.59,218
13,3,29.68,199
19,3,34.11,168
26,0,36.9,246
33,0,38.6,19
36,0,37.27,228
39,0,37.52,315
41,0,36.99,246
41,0,35.18,265
43,0,35.47,182
47,0,34.98,212
50,1,36.55,217
48,0,39.2,225
30,2,37.05,158
18,2,32.77,146
12,3,29.33,158
9,5.99,27.1,229
9,5,28.63,223
9,4,30.16,194
11,5,34.29,224
12,5.99,32.49,216
11,5,28.8,211
11,5,28.02,222
13,3,28.08,223
20,2,34.55,229
25,2,35.91,212
32,0,37.82,217
36,0,37.27,232
39,0,37.52,247
42,0,37.6,179
44,0,36.97,225
46,0,36.27,194
48,0,36.43,4
50,0,36.55,243
51,0,36.13,231
54,0,36.65,203
51,0,38.91,149
34,2,38.48,158
23,2,37.22,166
16,4,36.41,216
15,5,37.23,223
16,4,40.49,218
15,4,38.85,212
15,5,38.04,227
16,5,37.22,221
16,3,35.59,207
14,5,30.68,222
14,4,27.46,222
18,3,30.29,218
24,2,32.33,219
30,0,33.56,225
33,0,33.3,198
36,0,32.81,177
39,0,33.02,197
41,0,33.37,199
44,0,33.32,215
47,0,33.14,225
50,0,33.77,239
53,0,34.31,218
55,0,35.25,241
58,1,40.37,183
36,2,38.16,160
23,3,35.52,164
16,3,33.96,338
13,3,32.87,333
15,3,36.42,330
16,5,38.04,235
15,4,35.61,226
15,5.99,33.18,213
14,3,29.88,225
13,3,26.49,231
15,3,27.51,221
22,1,31.87,216
28,0,33.58,233
33,0,33.3,224
36,0,32.81,238
40,0,32.75,218
44,0,33.32,211
47,0,33.14,210
49,0,32.34,224
50,0,31.92,218
52,0,31.05,229
53,0,30.59,216
55,0,31.51,217
49,0,32.34,182
31,3,29.99,160
20,2,28.7,169
16,3,30.7,233
15,5,33.18,209
13,5.99,31.27,214
12,5,30.91,195
13,5,32.07,237
15,5,33.18,242
17,5,35.47,185
18,5,35.25,240
20,3,34.55,211
21,4,34.09,215
25,2,34.2,220
30,0,35.31,190
40,0,35.46,233
44,0,36.06,151
45,0,35.71,222
49,1,36.04,220
55,0,37.12,216
57,0,36.16,22
61,0,36.95,265
63,0,37.78,198
55,1,38.06,176
35,3,35.66,164
25,2,35.05,177
17,5.99,35.47,215
17,5,37.93,217
17,5.99,37.11,215
16,4,34.78,235
17,4,33.01,218
18,7,32.77,222
22,4,32.72,223
26,4,34.32,221
29,3,34.45,215
35,1,34.78,213
40,0,34.55,328
45,0,34.8,180
51,0,36.13,215
54,0,34.79,222
58,0,35.66,226
62,0,35.47,225
63,0,34.93,253
65,0,34.77,229
67,1,35.54,177
62,1,37.37,174
39,2,35.72,174
26,2,33.46,212
22,5,34.41,218
22,7,35.25,196
24,7,38.3,223
23,5.99,38.92,234
23,5.99,37.22,241
26,5,38.62,205
28,5,38.78,218
29,5,38.81,220
31,4,37.89,218
31,4,35.26,223
36,2,36.38,221
42,0,37.6,211
48,0,37.35,332
54,0,37.59,224
58,1,37.54,213
63,0,37.78,214
68,0,38.79,216
69,0,38.21,181
72,0,38.35,235
74,0,38.09,225
74,0,38.09,226
68,1,39.75,172
44,3,36.97,163
31,3,36.13,160
24,5,34.89,211
24,5.99,38.3,222
24,5,39.15,218
24,5,40.86,211
24,5.99,40,220
26,5,39.48,218
26,5,38.62,203
28,4,39.65,214
33,4,41.25,227
40,4,44.48,204
48,3,46.57,222
53,2,47.35,191
63,1,47.27,213
71,0,47.61,333
73,0,46.42,223
77,0,45.91,223
81,0,46.29,228
83,0,45.97,238
84,0,45.3,235
85,0,44.64,180
78,1,46.26,168
53,3,43.63,164
42,3,45.77,225
36,5.99,46.19,214
33,5.99,47.44,214
32,5.99,48.38,209
36,5,50.65,218
37,5,50.5,207
38,5.99,51.21,204
41,5.99,51.47,220
42,4,51.21,221
46,5,50.94,215
51,3,51.89,210
58,3,51.66,217
68,0,51.24,217
74,0,50.66,7
78,0,50.15,206
84,0,51.19,219
87,0,50.18,334
88,0,49.5,195
90,0,49.13,224
91,0,48.44,23
90,0,48.14,174
83,2,49.88,176
63,3,50.12,166
49,2,51.73,170
41,5,51.47,216
38,5.99,52.11,242
38,5.99,53.91,227
38,5.99,54.8,225
38,5.99,53.91,222
39,5.99,52.82,223
40,5.99,52.61,224
41,5,52.37,213
46,3,51.85,230
51,3,52.82,223
57,2,52.12,207
64,0,52.45,221
71,0,52.42,2
76,0,52.35,8
81,0,51.17,232
86,0,50.85,212
88,0,50.49,191
92,0,50.71,218
94,0,49.32,217
95,0,49.6,1
92,0,47.74,20
79,0,46.6,182
54,3,44.12,151
41,2,46.04,159
37,4,50.5,217
35,5,51.67,218
35,5.99,53.45,216
33,5.99,52.74,222
32,5.99,52.79,235
34,5.99,52.66,212
33,5.99,50.09,214
33,3,49.2,214
38,4,50.32,206
43,3,50.94,218
49,3,50.81,211
57,0,51.18,196
66,0,51.38,24
72,0,50.88,213
78,0,51.12,239
81,0,50.2,224
82,1,48.58,219
85,0,47.58,251
87,0,47.23,236
84,0,44.32,187
85,0,44.64,182
70,0,41.46,175
45,2,39.37,158
29,2,37.94,82
28,4,44.86,139
25,4,46.19,216
25,5.99,47.91,229
21,5,45.86,227
23,5.99,47.41,225
26,5.99,46.37,220
29,5.99,47.52,211
31,4,47.54,219
37,3,49.6,202
43,2,50.03,179
49,2,49.88,222
55,0,49.28,4
59,0,49.29,227
65,0,49.06,214
70,0,49.15,212
73,0,48.36,223
77,0,48.83,219
78,0,47.23,184
79,0,46.6,245
81,0,46.29,248
80,0,45.96,259
77,0,46.88,188
65,1,48.11,166
49,1,47.11,159
33,1,43.9,170
23,4,42.31,190
23,4,44.86,228
22,5,43.7,212
25,4,46.19,214
26,4,46.37,211
28,5,45.72,217
28,5,44.86,223
30,4,44.05,228
36,2,45.3,214
43,2,45.48,219
51,0,45.4,245
56,0,46.02,4
59,0,45.52,233
62,0,44.95,345
65,0,45.25,212
69,0,45.88,247
73,0,45.46,235
75,0,46.18,223
78,0,46.26,226
79,0,46.6,220
79,0,49.52,161
67,1,50.84,160
48,1,49.33,72
41,1,50.56,72
27,3,44.77,226
26,4,45.51,212
26,4,47.23,224
23,5,44.86,223
21,4,43.34,221
22,4,43.7,244
24,4,44.27,196
28,2,45.72,218
38,2,47.63,220
46,0,48.19,15
54,0,48.79,222
58,0,47.89,186
64,0,48.65,348
66,0,47.57,199
69,0,47.8,181
73,0,47.39,174
75,0,47.15,200
77,0,46.88,250
78,0,46.26,241
77,0,46.88,37
74,0,48.72,227
51,1,47.26,165
22,4,42.86,215
23,3,44.86,222
23,3,45.71,219
21,2,46.7,210
19,4,45.75,217
19,5,44.08,224
20,3,44.58,226
22,2,45.39,217
46,0,53.69,350
55,0,53.96,341
60,0,53.53,330
66,0,53.29,229
69,0,52.6,231
71,0,51.46,225
72,0,49.91,219
72,0,48.95,243
73,0,48.36,216
72,0,47.02,218
73,0,46.42,182
73,0,46.42,342
70,0,49.15,170
55,1,50.22,164
33,1,46.55,170
25,1,45.34,221
19,4,43.25,222
17,5,42.86,235
17,5.99,45.32,217
18,5.99,45.99,211
20,5.99,46.26,218
22,5,47.08,209
23,4,46.56,227
26,2,46.37,217
31,2,46.66,213
37,3,46.92,205
44,0,47.91,227
50,0,47.65,249
55,0,47.41,195
58,0,46.95,237
61,1,46.41,222
66,0,46.61,229
68,0,46.45,178
70,0,46.27,215
72,0,46.06,237
73,0,46.42,179
68,0,47.41,161
49,2,47.11,165
34,2,46.46,159
28,4,48.33,227
24,4,47.68,217
23,5.99,47.41,206
23,5,49.1,218
23,5.99,48.26,214
23,5,47.41,219
22,4,45.39,215
22,4,43.7,229
25,3,43.62,225
38,1,48.52,225
34,2,43.8,224
45,0,46.69,223
49,0,45.27,214
54,0,45.05,168
57,0,44.61,175
62,0,44,166
64,0,43.89,333
65,0,42.39,185
67,0,42.23,202
68,0,40.71,241
67,0,40.32,218
63,1,40.63,173
37,2,36.18,163
23,2,34.67,174
21,1,36.61,84
20,2,42.91,15
19,5.99,43.25,221
16,5,42.12,218
15,5.99,41.28,216
17,5,42.86,226
18,5,42.69,219
19,4,42.42,208
22,3,42.86,219
28,3,44.86,209
33,1,44.79,209
39,0,44.72,341
45,0,45.77,5
48,0,45.64,210
52,0,45.92,181
54,0,45.05,192
56,0,45.08,6
59,0,45.52,7
63,0,46.32,219
67,0,47.01,241
71,0,48.57,178
72,0,50.88,173
55,2,53.02,161
40,2,53.51,176
26,4,48.95,212
20,5,47.09,237
20,5.99,47.93,218
18,5,47.64,220
19,5,48.24,232
21,3,48.38,225
21,4,46.7,211
21,3,45.86,217
22,4,44.55,212
27,3,45.63,214
34,1,46.46,213
40,0,46.29,329
44,0,46.09,266
49,0,46.19,263
52,0,45.92,211
55,0,46.47,232
58,0,46.95,242
60,0,46.92,278
63,0,47.27,214
67,0,47.97,229
67,0,47.97,215
69,1,50.68,168
52,2,51.49,166
36,2,51.54,139
24,3,48.53,239
17,5,45.32,212
17,5.99,46.14,230
16,4,47.01,210
16,5.99,46.2,231
19,5,47.41,219
19,4,46.58,218
19,4,45.75,222
20,4,44.58,219
23,4,45.71,229
30,1,47.55,211
37,0,48.71,232
42,0,48.49,26
46,0,48.19,171
50,0,48.58,338
53,0,48.28,224
56,0,47.89,216
59,0,48.35,218
61,0,48.3,184
63,0,48.22,218
65,0,49.06,164
64,1,50.55,185
45,3,49.43,157
30,2,48.42,167
21,3,47.54,228
19,5,49.07,217
18,4,48.47,214
17,5,47.79,217
17,5,46.97,218
18,5,46.82,221
19,5,45.75,225
20,4,46.26,225
21,3,44.18,224
27,2,45.63,235
33,2,46.55,221
42,0,49.4,229
43,1,47.3,172
48,0,47.49,249
50,0,47.65,347
52,0,46.85,229
53,0,46.42,219
55,0,46.47,192
59,0,47.41,234
60,0,46.92,221
63,1,48.22,183
65,0,50.97,165
48,1,50.25,159
33,2,50.09,160
23,5.99,47.41,246
20,4,47.93,221
20,5,46.26,223
19,5,44.92,226
21,4,46.7,208
21,5.99,45.86,236
21,5,41.66,212
21,4,40.82,194
24,3,41.71,216
33,0,45.67,180
40,0,46.29,14
44,0,45.18,188
48,0,45.64,3
51,0,45.4,238
52,0,44.99,187
54,0,45.05,234
57,0,45.55,210
59,0,45.52,197
61,0,45.46,248
64,0,47.69,221
62,0,54.43,136
41,0,52.37,176
30,3,50.17,149
23,5,49.95,211
21,5.99,48.38,220
20,5,48.76,225
19,5,46.58,207
18,4,42.69,204
18,5,41.86,213
19,4,41.59,212
22,3,42.01,218
27,3,43.91,224
33,1,44.79,228
38,0,44.04,254
42,0,43.95,240
46,0,44.52,330
48,1,43.8,341
51,1,43.55,169
55,0,44.6,178
57,0,44.61,222
60,0,45.03,217
60,0,44.08,147
64,0,45.79,171
65,0,48.11,150
50,2,48.58,164
33,2,48.32,154
23,5,47.41,214
21,5.99,47.54,213
18,5.99,45.17,217
16,5,43.75,214
16,5,42.93,221
16,5,40.49,216
15,5.99,38.04,216
16,5,38.04,183
18,5,37.73,221
23,2,39.77,214
27,0,39.58,174
34,0,41.14,25
38,0,41.34,191
42,0,41.23,186
44,0,40.62,170
47,0,41.41,246
50,0,41.18,206
52,0,41.27,220
56,0,42.27,233
57,0,41.79,14
61,0,43.57,182
62,1,44.95,164
45,1,45.77,158
28,2,43.99,175
16,5,38.04,215
16,5,40.49,202
14,5.99,38.72,226
12,5.99,37.23,214
13,5,38.45,197
13,5,36.06,205
13,5,34.46,221
11,4,28.8,213
12,4,28.54,224
17,2,32.18,228
25,1,35.91,242
28,0,35.31,18
32,0,35.18,204
34,0,34.93,242
40,0,35.46,245
41,0,34.27,154
43,0,34.56,180
46,0,35.35,226
47,0,34.98,237
51,0,36.13,187
55,1,38.99,183
34,2,35.82,153
24,2,38.3,161
12,3,30.12,134
7,5,21.21,220
6,4,19.88,228
7,4,24.19,219
8,5,26.58,241
9,5.99,27.1,222
10,5,28.07,220
12,3,29.33,216
19,2,35.77,216
24,1,37.44,222
29,0,37.94,229
32,0,37.82,321
36,0,37.27,177
39,0,37.52,234
41,0,36.99,233
42,0,36.69,165
42,0,34.88,185
45,0,35.71,225
46,0,35.35,218
49,0,36.04,231
50,0,36.55,212
52,0,39.41,173
44,1,41.53,158
35,1,44.56,168
22,2,39.48,128
21,4,39.98,216
16,3,33.96,225
15,3,33.99,226
16,2,36.41,216
15,4,33.99,210
15,5,33.18,212
17,5,34.65,226
28,0,42.25,221
36,1,43.51,183
44,0,43.35,243
51,0,44.47,354
55,0,43.67,222
57,0,43.67,183
57,0,41.79,241
58,0,41.31,186
58,0,40.37,236
58,0,39.43,245
60,0,39.36,44
62,0,39.26,190
64,0,39.13,213
65,1,41.44,176
47,2,41.41,157
29,2,40.55,174
23,1,41.46,176
12,5.99,30.91,207
11,5.99,30.37,224
11,5,29.59,218
12,5,30.91,203
13,4,31.27,240
14,4,33.09,220
16,2,34.78,229
31,0,46.66,237
38,1,46.73,227
46,0,47.27,236
49,0,46.19,332
53,0,46.42,337
54,0,45.05,18
57,0,44.61,222
59,0,44.58,217
60,0,43.14,225
62,0,43.05,39
63,0,42.52,232
65,0,42.39,8
66,0,42.79,178
66,1,44.7,163
56,0,46.95,160
39,1,47.42,153
31,1,46.66,128
18,4,39.38,201
16,5,37.22,214
16,5,38.86,213
17,5,38.75,212
17,4,40.4,211
21,5,43.34,202
23,4,44.01,227
23,4,42.31,222
30,0,45.8,222
37,0,46.02,223
43,1,47.3,39
47,0,46.01,332
51,1,46.33,176
52,0,45.92,226
53,1,46.42,3
57,1,47.43,16
59,1,47.41,11
61,1,48.3,186
70,0,51.07,165
67,0,49.88,174
69,0,52.6,222
61,0,54.93,161
47,0,53.36,85
28,2,48.33,220
22,5.99,45.39,214
25,5,46.19,218
21,5,45.86,213
22,4,45.39,221
24,2,46.83,223
22,3,43.7,228
23,3,42.31,224
23,3,39.77,214
27,2,40.45,213
34,1,42.03,330
39,0,42.92,17
44,0,43.35,248
48,0,43.8,218
51,0,43.55,227
52,0,44.06,21
53,0,44.56,27
56,0,46.02,172
59,0,45.52,17
61,1,53.03,160
57,2,54.94,164
41,2,54.18,153
26,5,48.09,223
23,5,47.41,220
22,5,48.77,214
20,5,46.26,256
22,5,46.24,214
21,5,45.86,215
21,3,44.18,218
21,3,44.18,204
23,4,43.16,233
28,2,44.86,224
34,0,45.57,210
41,0,46.94,327
45,1,45.77,243
50,0,46.73,1
54,1,46.92,162
57,0,46.49,170
60,0,46.92,234
62,0,46.84,336
64,0,46.74,238
68,0,47.41,177
69,0,47.8,174
71,0,50.5,181
57,1,53.06,163
39,2,52.82,169
29,4,49.26,216
22,3,49.62,237
22,5,49.62,236
24,5,48.53,213
25,4,49.62,227
21,5,48.38,239
20,3,45.42,223
18,5,41.03,220
19,3,39.1,213
25,3,41.05,239
31,1,42.27,233
34,0,42.03,353
42,0,44.86,13
42,0,43.05,204
53,0,48.28,9
55,0,46.47,330
56,0,45.08,330
58,0,45.07,179
62,1,45.9,8
63,0,45.37,2
67,0,46.06,166
70,1,48.19,166
52,1,46.85,156
30,2,44.92,99
23,2,47.41,206
22,2,47.08,153
20,4,49.6,336
19,5.99,47.41,227
18,4,46.82,214
18,5,45.99,240
20,5.99,47.09,219
22,5,47.08,237
25,5,47.05,224
28,1,48.33,221
35,2,49,212
39,0,49.22,210
48,0,51.17,328
49,1,50.81,328
52,1,50.56,213
58,0,51.66,162
59,0,50.24,164
61,0,50.2,230
63,0,50.12,191
67,1,49.88,221
70,0,51.07,17
74,0,52.59,171
56,1,51.64,155
36,2,50.65,180
28,2,51.8,146
26,4,49.81,221
28,4,50.93,220
27,3,52.55,216
31,1,52.8,217
79,2,65.1,158
65,1,64.31,169
73,0,66.7,212
76,0,67.87,1
79,0,67.05,89
82,0,66.18,148
82,2,64.22,242
84,0,63.94,161
86,0,63.63,208
88,0,63.3,173
87,0,62.98,171
87,1,61.99,160
89,0,62.64,179
87,0,61.99,172
85,2,61.33,175
84,0,60.99,169
80,0,60.59,180
75,1,62.64,225
62,0,62.01,164
35,2,54.34,222
28,5,53.53,234
30,5,54.54,228
26,5,53.25,223
36,2,56,157
75,3,64.58,343
87,1,65.93,162
80,0,65.46,166
79,0,66.08,158
83,1,65.55,175
84,0,65.9,80
87,1,65.93,175
87,2,63.96,158
92,0,64.58,171
93,0,64.9,180
94,0,64.21,6
95,0,63.52,174
96,0,63.82,208
94,0,63.22,244
92,0,62.6,172
92,0,62.6,7
88,0,62.32,167
71,0,61.08,162
57,0,58.69,177
63,0,61.51,100
70,0,64.52,114
43,2,56.4,347
37,2,55.86,89
30,3,51.92,216
29,3,50.13,212
34,2,52.66,237
35,4,50.78,224
37,2,51.39,218
45,0,53.09,213
54,0,54.39,346
61,0,54.93,172
65,0,53.83,196
68,0,53.16,178
70,0,-7.53,181
74,0,53.56,331
75,0,51.99,186
77,0,52.71,179
79,0,52.44,179
79,0,52.44,165
79,1,52.44,179
81,0,53.13,177
70,2,54.91,175
49,2,54.5,159
35,2,53.45,179
27,3,52.55,226
28,5,52.66,226
24,5,51.09,159
27,5,53.41,214
32,5.99,54.55,202
33,5,53.62,224
37,2,54.07,219
44,1,55.21,178
49,0,54.5,221
56,0,54.45,180
61,0,54.93,2
67,0,55.62,214
70,0,54.91,246
71,0,54.34,180
72,0,53.77,16
75,0,52.96,167
76,0,53.32,179
79,0,53.41,174
80,0,52.79,179
82,1,54.44,171
67,1,54.66,174
43,2,53.67,169
33,4,54.51,227
30,5,54.54,226
27,5,55.14,207
23,5,53.35,218
23,5,52.5,225
25,5,52.19,214
24,5.99,50.24,212
35,3,58.79,
29,3,46.65,181
37,3,50.5,91
,4,,
48,1,53.01,177
51,1,52.82,22
54,1,52.52,25
55,0,52.09,10
57,0,51.18,240
60,0,50.69,213
63,0,51.07,176
65,0,50.97,226
66,0,50.43,188
67,1,49.88,182
70,0,52.03,238
58,1,53.54,174
38,2,51.21,161
31,3,53.68,161
26,4,54.11,209
23,5,52.5,223
27,4,56.87,4
35,3,56.12,16
33,2,56.27,41
33,2,55.39,340
34,4,51.78,340
38,4,51.21,338
43,3,52.76,185
47,3,54.28,165
49,1,54.5,162
54,1,55.32,149
55,0,54.89,171
59,0,55.89,156
59,0,55.89,346
61,0,55.87,169
66,0,58.07,163
82,0,61.29,17
91,0,63.28,172
97,0,64.12,220
98,0,64.42,40
99,0,65.71,152
96,0,65.81,329
91,0,64.27,85
94,2,66.2,172
91,1,66.25,319
86,0,66.58,181
73,1,64.77,235
71,0,64.93,334
76,1,66.9,82
75,0,66.51,96
82,0,66.18,179
89,0,66.59,91
90,0,64.94,165
93,0,64.9,155
96,0,63.82,212
97,0,63.12,226
98,0,62.42,217
99,0,61.71,223
99,0,60.71,270
99,0,59.72,338
99,0,57.72,241
99,0,56.72,346
99,0,54.72,175
98,0,54.44,203
79,2,51.47,180
58,2,52.6,162
35,3,49.89,145
35,4,54.34,228
39,5,58.22,209
36,5,58.68,200
37,5,58.55,220
41,5,58.71,222
41,5,57.8,226
42,4,56.66,215
45,4,56.75,206
53,2,57.6,231
59,2,57.78,213
68,0,57.94,31
73,0,58.01,206
79,0,57.31,206
81,0,57.03,222
84,0,56.09,178
85,0,55.44,182
85,0,54.46,243
84,0,53.15,224
83,0,51.84,220
84,0,51.19,186
86,0,50.85,234
72,1,50.88,226
47,1,51.52,159
30,3,50.17,3
26,3,50.67,330
22,4,51.31,218
22,5,50.46,324
23,3,51.65,217
23,5,48.26,241
25,5,48.76,215
,,,
30,4,48.42,214
37,3,49.6,214
43,0,50.03,231
51,0,50.97,244
56,0,51.64,183
60,0,51.64,191
64,0,51.5,242
68,0,51.24,168
72,1,50.88,220
75,0,51.02,203
76,0,50.41,228
78,0,50.15,333
79,0,50.49,218
77,0,52.71,181
68,2,55.07,183
50,1,55.06,127
33,3,50.97,211
28,4,51.8,224
28,4,51.8,222
24,5,51.95,225
28,5,51.8,214
26,5,50.67,216
27,5.99,49.95,240
27,4,48.23,221
29,3,47.52,224
34,2,49.12,214
38,1,48.52,235
42,0,48.49,160
49,0,48.96,10
55,0,49.28,184
59,0,49.29,248
63,0,49.17,229
68,0,50.28,226
70,0,50.11,215
72,0,49.91,223
75,0,51.02,219
77,0,50.77,222
77,0,53.68,1
70,2,55.87,157
48,2,53.93,161
35,2,51.67,155
31,5,51.05,227
30,4,51.92,215
27,5,50.82,214
28,5,50.06,221
27,5.99,49.09,221
28,5,49.19,209
31,5,49.29,221
32,4,47.5,217
34,3,46.46,225
43,2,48.21,221
47,0,47.84,208
52,0,47.77,337
57,0,47.43,178
60,0,47.86,216
63,0,47.27,13
67,0,47.97,259
71,0,49.53,219
74,0,49.69,24
76,0,49.44,177
80,0,49.86,174
81,0,51.17,171
76,1,52.35,177
46,2,51.85,172
30,5,49.29,205
28,5,50.06,227
26,5,49.81,230
24,5,49.39,256
25,5.99,48.76,219
26,5.99,48.09,210
28,5.99,48.33,206
29,5,47.52,210
31,4,46.66,212
35,2,46.34,225
38,2,44.93,232
47,0,46.93,354
50,0,45.8,223
55,0,45.54,168
59,0,45.52,206
63,0,46.32,338
65,0,46.2,192
70,0,46.27,237
72,0,47.02,250
75,0,47.15,199
78,0,47.23,223
78,0,48.2,223
75,0,50.05,231
43,2,49.12,150
30,3,50.17,230
26,5,48.09,212
23,5,47.41,232
21,5,46.7,213
21,5.99,45.86,222
22,5.99,44.55,224
22,5.99,43.7,220
24,5.99,44.27,222
27,4,44.77,214
32,3,44.86,209
36,1,44.41,182
41,0,43.32,164
48,0,44.72,33
52,0,44.06,245
57,0,44.61,216
60,0,44.08,28
64,0,43.89,232
68,0,44.54,211
70,0,44.35,170
71,0,43.76,175
73,0,43.53,192
76,0,44.59,192
68,0,44.54,197
39,2,44.72,156
27,4,45.63,157
24,5,45.97,220
21,5.99,45.02,219
19,5.99,44.08,202
18,5.99,41.86,213
19,5,41.59,218
19,4,39.93,217
20,3,39.57,222
22,4,39.48,229
27,3,40.45,218
33,1,41.25,223
39,0,42.02,8
44,0,41.53,345
47,1,40.49,214
51,0,40.76,225
55,0,41.8,9
58,0,41.31,242
60,0,41.25,240
63,0,40.63,168
64,0,40.08,87
66,0,40.89,249
70,0,42.42,94
63,0,42.52,170
37,0,42.44,157
22,2,41.17,83
13,4,32.87,209
14,5,36.31,215
13,5.99,35.26,214
13,5.99,34.46,222
14,5,34.7,229
15,4,34.8,224
16,5,34.78,226
16,4,32.33,229
20,2,32.88,222
24,2,34.03,221
29,0,34.45,332
33,0,34.18,216
37,0,34.39,246
39,0,33.92,162
44,0,36.06,221
47,0,35.9,173
50,0,36.55,210
53,0,37.11,330
56,0,36.65,223
59,0,37.98,339
63,0,40.63,190
64,0,42.94,174
40,0,44.48,141
24,3,42.56,165
12,3,32.49,187
11,5,31.15,222
9,5,28.63,222
9,5,27.86,216
11,5,30.37,224
12,5,30.91,225
14,4,33.09,193
16,4,33.15,213
21,1,34.09,223
27,0,35.26,224
33,0,36.83,333
36,0,35.49,318
39,0,35.72,236
41,0,35.18,337
46,0,36.27,351
48,0,36.43,220
52,0,37.55,239
53,0,37.11,220
57,0,37.1,24
62,0,39.26,236
59,0,39.87,162
33,2,41.25,142
17,3,36.29,152
12,4,34.07,213
12,5,34.86,225
10,5.99,31.95,213
10,5.99,31.17,214
11,3,31.94,205
11,4,30.37,234
12,4,30.91,220
15,4,33.18,220
23,1,37.22,220
27,0,36.99,224
33,0,38.6,78
36,0,38.16,159
39,0,37.52,184
40,1,38.16,178
40,0,37.26,219
42,0,37.6,165
45,0,37.54,229
47,0,36.82,217
49,0,36.96,42
51,0,37.98,231
54,0,40.39,171
54,0,42.25,182
36,0,45.3,167
16,2,37.22,170
13,5,36.86,211
12,5.99,36.44,213
10,5,33.5,242
10,5,33.5,223
12,4,34.86,207
13,2,36.06,227
18,2,40.21,221
18,2,40.21,213
26,1,44.64,178
31,0,44.03,331
35,0,43.67,218
38,0,44.04,227
42,0,45.77,215
42,0,44.86,71
43,0,45.48,189
44,0,45.18,21
46,0,45.44,211
48,0,43.8,217
52,0,45.92,18
52,0,46.85,167
53,0,50.15,240
54,0,53.45,242
40,2,52.61,170
36,1,54.22,70
30,2,51.04,226
20,2,43.75,213
16,3,44.57,252
17,3,42.86,335
16,4,37.22,202
24,2,44.27,179
34,1,50,84
38,1,52.11,20
43,0,52.76,75
51,0,53.75,109
56,0,53.51,57
56,0,51.64,331
59,1,52.12,179
60,0,51.64,345
63,0,51.07,170
67,0,50.84,331
68,0,50.28,217
71,0,49.53,226
72,0,48.95,336
73,0,49.32,313
